Subject,1,Score1,2,Score2,3,Score3,4,Score4,5,Score5,Double Choice,Total
영미문학  Ⅰ,3(21.4%),11,2(14.3%),8,3(21.4%),9,3(21.4%),10,3(21.4%),12,0(0.0%),14
심화 영어 독해  Ⅰ,3(15.0%),9,4(20.0%),12,3(15.0%),9,4(20.0%),12,6(30.0%),18,0(0.0%),20
영어 Ⅰ,5(25.0%),15,3(15.0%),9,4(20.0%),12,4(20.0%),12,4(20.0%),12,0(0.0%),20
지구과학 Ⅰ,4(18.2%),10.5,5(22.7%),13.5,4(18.2%),12.1,5(22.7%),12.1,4(18.2%),11.8,0(0.0%),22
AP 생물학 Ⅰ,2(10.0%),6,4(20.0%),9,5(25.0%),12.5,2(10.0%),4.5,7(35.0%),18,0(0.0%),20
일본어문법,3(20.0%),11,3(20.0%),10.9,3(20.0%),8.9,3(20.0%),9.2,3(20.0%),10,0(0.0%),15
윤리와 사상,7(31.8%),16.1,6(27.3%),13.5,2(9.1%),4.6,4(18.2%),8.9,3(13.6%),6.9,0(0.0%),22
문학,5(20.8%),14.3,3(12.5%),8.6,7(29.2%),21,4(16.7%),11.4,5(20.8%),14.7,0(0.0%),24
물리학 Ⅱ,4(23.5%),18.6,2(11.8%),10.2,3(17.6%),14.4,4(23.5%),16.8,4(23.5%),20,0(0.0%),17
세계사,5(20.8%),13.6,3(12.5%),7.9,6(25.0%),16.7,4(16.7%),9.9,6(25.0%),16.9,0(0.0%),24
고급이산수학,1(9.1%),4.5,3(27.3%),13.7,2(18.2%),9.2,4(36.4%),18.3,1(9.1%),4.3,0(0.0%),11
화법과 작문,3(15.0%),12,5(25.0%),19.9,3(15.0%),12.2,5(25.0%),19.9,4(20.0%),16,0(0.0%),20
세계지리,4(20.0%),12.9,4(20.0%),10.7,2(10.0%),6.8,5(25.0%),17.7,5(25.0%),16.9,0(0.0%),20
정치와 법,5(33.3%),20.4,2(13.3%),8,2(13.3%),8,4(26.7%),16,2(13.3%),7.6,0(0.0%),15
화학 Ⅰ,3(15.0%),12.4,5(25.0%),20.4,3(15.0%),11.9,5(25.0%),18.9,4(20.0%),16.4,0(0.0%),20
AP 미시경제,3(17.6%),10.7,4(23.5%),14.1,3(17.6%),10.5,3(17.6%),10.3,4(23.5%),14.4,0(0.0%),17
경제,3(16.7%),12.5,4(22.2%),15.1,4(22.2%),15.8,5(27.8%),19.4,2(11.1%),7.2,0(0.0%),18
기하,2(12.5%),6.1,3(18.8%),10.1,3(18.8%),9.5,4(25.0%),12.8,4(25.0%),11.5,0(0.0%),16
확률과 통계,2(15.4%),7.5,2(15.4%),8,3(23.1%),11.5,3(23.1%),11.5,3(23.1%),11.5,0(0.0%),13
문학과 매체,0(0.0%),0,0(0.0%),0,1(33.3%),10.5,0(0.0%),0,2(66.7%),29.5,0(0.0%),3
프로그래밍,2(14.3%),6.8,4(28.6%),14.2,2(14.3%),6.7,4(28.6%),15.4,2(14.3%),6.9,0(0.0%),14
독서와 사고,0(0.0%),0,2(40.0%),14.1,1(20.0%),9.5,1(20.0%),8.4,1(20.0%),8,0(0.0%),5
수학 Ⅰ,4(25.0%),17.3,2(12.5%),9.1,4(25.0%),17.3,3(18.8%),13,3(18.8%),13.3,0(0.0%),16
심화 수학 Ⅰ,3(20.0%),14.2,5(33.3%),23.8,1(6.7%),4.3,3(20.0%),14.2,3(20.0%),13.5,0(0.0%),15
