Subject,1,Score1,2,Score2,3,Score3,4,Score4,5,Score5,DoubleChoice,Total
응용물리학탐구,6(20.0%),19.0,6(20.0%),18.0,8(26.7%),28.0,7(23.3%),26.0,3(10.0%),9.0,0(0.0%),30
응용수학탐구,5(25.0%),25.0,3(15.0%),14.0,4(20.0%),21.0,4(20.0%),21.0,4(20.0%),19.0,0(0.0%),20
통합수학Ⅰ,4(22.2%),21.1,2(11.1%),9.7,3(16.7%),16.4,4(22.2%),23.4,2(11.1%),9.5,3(16.7%),18
사회·문화,4(16.7%),14.6,4(16.7%),14.8,5(20.8%),18.8,5(20.8%),18.3,6(25.0%),23.5,0(0.0%),24
유기화학,2(33.3%),8.6,0(0.0%),0,1(16.7%),4.3,2(33.3%),8.2,1(16.7%),3.9,0(0.0%),6
지역 이해,4(20.0%),12.4,4(20.0%),13.6,3(15.0%),12.3,4(20.0%),12.3,5(25.0%),14.4,0(0.0%),20
심화 영어Ⅰ,5(16.7%),16.0,5(16.7%),16.5,6(20.0%),20.0,6(20.0%),20.5,8(26.7%),27.0,0(0.0%),30
고전 읽기,3(21.4%),15.0,1(7.1%),5.0,4(28.6%),20.0,4(28.6%),20.0,2(14.3%),10.0,0(0.0%),14
응용생명과학탐구,4(20.0%),15.3,4(20.0%),16.0,4(20.0%),16.1,4(20.0%),16.2,4(20.0%),16.4,0(0.0%),20
고급 생명과학,3(15.0%),15.0,3(15.0%),14.2,4(20.0%),20.3,5(25.0%),25.6,5(25.0%),24.9,0(0.0%),20
생활과 윤리,7(28.0%),25.1,6(24.0%),21.5,3(12.0%),11.3,4(16.0%),13.6,5(20.0%),18.5,0(0.0%),25
일본 문화,4(20.0%),19.7,4(20.0%),20.0,3(15.0%),14.9,6(30.0%),30.2,3(15.0%),15.2,0(0.0%),20
시사영어,1(6.2%),5.0,4(25.0%),22.0,3(18.8%),15.0,5(31.2%),25.0,3(18.8%),13.0,0(0.0%),16
응용지구과학탐구,5(25.0%),27.0,4(20.0%),18.0,4(20.0%),21.0,4(20.0%),20.0,3(15.0%),14.0,0(0.0%),20
응용화학탐구,4(26.7%),24.0,3(20.0%),17.0,3(20.0%),16.0,2(13.3%),9.0,3(20.0%),14.0,0(0.0%),15
영어 비평적 읽기와 쓰기,3(20.0%),9.0,3(20.0%),9.0,2(13.3%),6.0,4(26.7%),12.0,3(20.0%),9.0,0(0.0%),15
국제 경제,5(19.2%),13.7,9(34.6%),24.0,2(7.7%),7.8,7(26.9%),31.2,3(11.5%),13.3,0(0.0%),26
세계 문제와 미래 사회,5(25.0%),19.6,3(15.0%),11.6,3(15.0%),12.6,4(20.0%),16.3,5(25.0%),19.9,0(0.0%),20
비교 문화,2(25.0%),7.7,2(25.0%),7.2,1(12.5%),3.7,2(25.0%),7.7,1(12.5%),3.7,0(0.0%),8
에너지환경과학,3(15.0%),12.0,5(25.0%),20.0,4(20.0%),16.0,3(15.0%),12.0,5(25.0%),20.0,0(0.0%),20
심화 국어,6(20.0%),19.9,5(16.7%),16.4,6(20.0%),20.3,6(20.0%),20.0,7(23.3%),23.4,0(0.0%),30
AP 미적분학,1(12.5%),6.5,1(12.5%),6.1,2(25.0%),12.5,2(25.0%),12.3,2(25.0%),12.6,0(0.0%),8
